dataset,train_size,task_type,learning_rate,base,digits,d_model,nhead,num_decoder_layers,dim_feedforward,hidden_dim,dropout,optuna_best_value,optuna_n_trials,optuna_optimization_metric,resolution_source,checkpoint_seed,checkpoint_relative_path,optuna_source_relative_path,architecture_mismatch_keys
house_prices_nominal,934,regression,8.314922613836327e-05,2,8,256,8,2,1024,128,0.1,0.8990395610385429,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/house_prices_nominal/house_prices_nominal/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/house_prices_nominal/house_prices_nominal/best_params.json,
house_sales_reduced,13832,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.8803376700537607,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/house_sales_reduced/house_sales_reduced/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/house_sales_reduced/house_sales_reduced/best_params.json,"d_model,dim_feedforward,num_decoder_layers"
houses,13209,regression,3.115172835340069e-05,8,4,256,8,3,2048,1024,0.1,0.79753571603522,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/houses/houses/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/houses/houses/best_params.json,
housing_price_prediction,348,regression,7.641993145310922e-05,8,8,512,8,2,2048,128,0.1,0.6223647955214773,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/housing_price_prediction/housing_price_prediction/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/housing_price_prediction/housing_price_prediction/best_params.json,
kin8nm,5242,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9167798085268547,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/kin8nm/kin8nm/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/kin8nm/kin8nm/best_params.json,"dim_feedforward,num_decoder_layers"
mauna-loa-atmospheric-co2,1424,regression,7.679252279327627e-05,8,4,512,8,4,512,1024,0.1,0.9978866701200988,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/mauna-loa-atmospheric-co2/mauna-loa-atmospheric-co2/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/mauna-loa-atmospheric-co2/mauna-loa-atmospheric-co2/best_params.json,
mv,26091,regression,4.6312413472298236e-05,8,6,512,4,4,512,1024,0.1,0.9998767839024851,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/mv/mv/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/mv/mv/best_params.json,
pol_reg,9600,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9967041630311739,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/pol_reg/pol_reg/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/pol_reg/pol_reg/best_params.json,"dim_feedforward,hidden_dim,num_decoder_layers"
pole,9598,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9962950439752507,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/pole/pole/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/pole/pole/best_params.json,"d_model,dim_feedforward,num_decoder_layers"
puma32H,5242,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.8927985033493686,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/puma32H/puma32H/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/puma32H/puma32H/best_params.json,"hidden_dim,num_decoder_layers"
puma8NH,5242,regression,2.368863950364079e-05,2,4,128,8,5,512,256,0.1,0.7013556695398317,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/puma8NH/puma8NH/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/puma8NH/puma8NH/best_params.json,
qsar_aquatic_toxicity,348,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.44499597510672617,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/qsar_aquatic_toxicity/qsar_aquatic_toxicity/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/qsar_aquatic_toxicity/qsar_aquatic_toxicity/best_params.json,"dim_feedforward,hidden_dim,num_decoder_layers"
qsar_fish_toxicity,580,regression,9.987884019029237e-05,4,6,256,8,4,1024,128,0.1,0.7277984311230099,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/qsar_fish_toxicity/qsar_fish_toxicity/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/qsar_fish_toxicity/qsar_fish_toxicity/best_params.json,
satellite_image,4118,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9031938221310996,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/satellite_image/satellite_image/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/satellite_image/satellite_image/best_params.json,"d_model,hidden_dim,num_decoder_layers"
sensory,368,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.05410890522275036,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/sensory/sensory/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/sensory/sensory/best_params.json,"d_model,hidden_dim,num_decoder_layers"
socmob,739,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.826355387462874,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/socmob/socmob/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/socmob/socmob/best_params.json,"d_model,dim_feedforward,num_decoder_layers"
space_ga,1988,regression,9.777903013375943e-05,4,6,256,8,2,1024,1024,0.1,0.7347851585115698,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/space_ga/space_ga/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/space_ga/space_ga/best_params.json,
steel_industry_energy_consumption,22425,regression,4.300249616561345e-05,8,4,256,8,4,512,1024,0.1,0.9985428143181417,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/steel_industry_energy_consumption/steel_industry_energy_consumption/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/steel_industry_energy_consumption/steel_industry_energy_consumption/best_params.json,
stock,608,regression,9.719976505843338e-05,8,4,256,8,4,2048,1024,0.1,0.9817122969879947,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/stock/stock/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/stock/stock/best_params.json,
stock_fardamento02,4016,regression,9.337382493214714e-05,4,8,128,8,2,1024,256,0.1,0.552291433174054,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/stock_fardamento02/stock_fardamento02/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/stock_fardamento02/stock_fardamento02/best_params.json,
sulfur,6451,regression,5.0253069663926505e-05,4,6,512,8,3,1024,512,0.1,0.845934720544246,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/sulfur/sulfur/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/sulfur/sulfur/best_params.json,
topo_2_1,5686,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.04846806551394156,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/topo_2_1/topo_2_1/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/topo_2_1/topo_2_1/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
treasury,671,regression,9.788268276881582e-05,8,4,256,8,4,2048,1024,0.1,0.99521454373774,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/treasury/treasury/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/treasury/treasury/best_params.json,
us_crime,1276,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.7166774428518032,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/us_crime/us_crime/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/us_crime/us_crime/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
volume,32635,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.4778496697594985,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/volume/volume/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/volume/volume/best_params.json,"d_model,hidden_dim,num_decoder_layers"
weather_izmir,934,regression,5.603193717447517e-05,4,6,512,8,2,2048,512,0.1,0.9905505187255529,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/weather_izmir/weather_izmir/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/weather_izmir/weather_izmir/best_params.json,
wind,4207,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.7870955463333204,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/wind/wind/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/wind/wind/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
wine+quality,4157,regression,2.9291783320679985e-05,4,6,256,8,2,512,1024,0.1,0.44401729683431135,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/wine+quality/wine+quality/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/wine+quality/wine+quality/best_params.json,
yprop_4_1,5686,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.038028473296502385,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/yprop_4_1/yprop_4_1/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/yprop_4_1/yprop_4_1/best_params.json,"dim_feedforward,hidden_dim,num_decoder_layers"
